name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm
cockpit_coaming,01 Bodywork,carbon_matte,,,,,,,,,360,344,1166.1,1980.4,-217.4,217.4,581.8,764.6
halo,01 Bodywork,titanium,,,,,,,,,144,114,1103.0,2020.8,-355.0,355.0,672.9,979.2
headrest,10 Cockpit,carbon_matte,,,,,,,,,8,6,1830.0,2050.0,-150.0,150.0,555.0,685.0
seat,10 Cockpit,carbon_matte,,,,,,,,,8,6,1370.0,2010.0,-180.0,180.0,155.0,445.0
sharkfin,01 Bodywork,carbon_gloss,,,,,,,,,64,62,3100.0,4180.0,-4.5,4.5,415.0,760.0
sidepod_inlets,01 Bodywork,carbon_gloss,,,,,,,,,224,224,1700.0,1810.0,-530.4,530.4,196.0,404.0
sidepod_l,01 Bodywork,carbon_gloss,,,,,,,,,1200,1162,1700.0,3700.0,-772.0,-162.0,145.8,540.6
sidepod_r,01 Bodywork,carbon_gloss,,,,,,,,,1200,1162,1700.0,3700.0,162.0,772.0,145.8,540.6
steering,10 Cockpit,carbon_matte,,,,,,,,,104,104,1208.8,1431.2,-112.0,112.0,546.0,594.0
tub,01 Bodywork,carbon_gloss,,,,,,,,,3536,3486,0.0,4560.0,-301.1,301.1,45.7,765.7
floor_plank,02 Floor and Diffuser,wood,,,,,,,,,8,6,1300.0,4560.0,-210.0,210.0,18.0,34.0
floor_skirts,02 Floor and Diffuser,carbon_matte,,,,,,,,,208,204,1420.0,4500.0,-859.9,859.9,0.0,40.0
floor_strakes,02 Floor and Diffuser,carbon_matte,,,,,,,,,64,48,2300.0,4470.0,-523.9,523.9,12.0,337.2
floor_surface,02 Floor and Diffuser,carbon_matte,,,,,,,,,136,134,1300.0,4560.0,-876.0,876.0,10.0,157.5
tunnel_l,02 Floor and Diffuser,carbon_matte,,,,,,,,,88,86,1300.0,4560.0,-841.8,-210.0,10.0,410.0
tunnel_r,02 Floor and Diffuser,carbon_matte,,,,,,,,,88,86,1300.0,4560.0,210.0,841.8,10.0,410.0
front_cascades,03 Wings,carbon_gloss,,,,,,,,,600,488,144.0,340.7,-710.0,710.0,379.3,495.1
front_diveplanes,01 Bodywork,carbon_matte,,,,,,,,,480,368,56.2,210.2,-980.0,980.0,76.5,187.9
front_endplates,03 Wings,carbon_gloss,,,,,,,,,80,76,0.0,480.0,-940.5,940.5,16.0,516.0
front_flap_1,01 Bodywork,carbon_gloss,156.0,0.0,146.0,0.0,1.0,0.0,1.0,hinge,450,422,156.6,344.2,-876.6,876.6,115.8,231.0
front_flap_2,01 Bodywork,carbon_gloss,246.0,0.0,188.0,0.0,1.0,0.0,1.0,hinge,450,422,247.5,393.6,-858.9,858.9,155.1,299.3
front_flap_3,01 Bodywork,carbon_gloss,322.0,0.0,236.0,0.0,1.0,0.0,1.0,hinge,450,422,324.3,433.0,-836.6,836.6,201.4,367.4
front_wing_main,03 Wings,carbon_gloss,,,,,,,,,450,422,60.1,389.8,-890.0,890.0,72.2,165.3
front_y250_vanes,03 Wings,carbon_gloss,,,,,,,,,16,12,90.0,490.0,-253.5,253.5,132.0,262.0
rear_endplates,03 Wings,carbon_gloss,,,,,,,,,16,12,4360.0,4930.0,-715.0,715.0,650.0,1030.0
rear_flap,01 Bodywork,carbon_gloss,4645.6,0.0,928.0,0.0,1.0,0.0,1.0,hinge,240,212,4599.6,4781.6,-710.0,710.0,852.6,953.4
rear_gurney,03 Wings,carbon_gloss,,,,,,,,,8,6,4744.0,4756.0,-681.6,681.6,949.0,975.0
rear_louvres,03 Wings,carbon_gloss,,,,,,,,,80,60,4400.0,4648.0,-717.0,717.0,892.0,1004.0
